	exact_age	length_of_residence	num_adults	gender	hh_marital_status	dwell_type	urban_rural_flag	flag_pres_kids_true	age_range
43880	54.0	8.0	1.0	0	1	1	1	0	55.5
43881	43.0	0.0	1.0	0	0	0	1	1	45.5
43882	84.0	1.0	1.0	1	1	1	1	0	85.5
43883	27.0	3.0	2.0	0	0	1	1	1	25.5
43884	36.0	4.0	7.0	0	0	1	1	1	35.5
43885	64.0	3.0	2.0	0	0	3	1	0	65.5
43886	45.0	12.0	4.0	0	0	1	1	1	45.5
43887	36.0	1.0	1.0	0	1	1	1	1	35.5
43888	37.0	3.0	2.0	0	0	1	1	1	35.5
43889	37.0	1.0	1.0	0	1	1	1	1	35.5
43890	32.0	1.0	1.0	0	1	1	1	1	35.5
43891	40.0	1.0	1.0	0	0	1	1	1	35.5
43892	55.0	1.0	1.0	1	1	1	1	0	55.5
43893	61.0	22.0	3.0	0	1	1	1	0	65.5
43894	47.0	23.0	6.0	0	1	1	1	1	45.5
43895	21.0	24.0	7.0	0	1	1	1	0	25.5
43896	23.0	10.0	4.0	0	1	1	1	1	25.5
43897	55.0	21.0	4.0	1	0	2	1	1	55.5
43898	36.0	5.0	1.0	1	1	3	1	0	35.5
43899	67.0	14.0	2.0	0	1	1	0	0	65.5
43900	40.0	2.0	1.0	0	1	3	1	1	35.5
43901	65.0	9.0	1.0	0	1	1	1	0	65.5
43902	58.0	12.0	1.0	0	1	1	1	0	55.5
43903	31.0	28.0	5.0	1	0	1	1	1	35.5
43904	51.0	21.0	6.0	0	0	1	1	0	55.5
43905	45.0	6.0	1.0	1	1	1	1	0	45.5
43906	46.0	12.0	1.0	1	0	1	1	1	45.5
43907	85.0	11.0	2.0	1	0	1	1	0	85.5
43908	58.0	15.0	2.0	1	0	1	1	1	55.5
43909	57.0	14.0	2.0	1	0	1	1	0	55.5
43910	49.0	11.0	2.0	0	0	1	1	0	45.5
43911	74.0	19.0	3.0	1	0	1	1	0	75.5
43912	62.0	21.0	5.0	0	0	1	1	0	65.5
43913	43.0	2.0	1.0	0	1	2	1	0	45.5
43914	49.0	11.0	2.0	0	0	2	1	0	45.5
43915	60.0	15.0	2.0	0	1	1	1	0	55.5
43916	52.0	11.0	2.0	1	0	1	1	0	55.5
43917	24.0	3.0	5.0	1	0	1	0	0	25.5
43918	50.0	1.0	4.0	1	0	1	0	0	45.5
43919	52.0	11.0	2.0	1	0	1	1	0	55.5
43920	61.0	15.0	2.0	1	0	1	1	1	65.5
43921	49.0	11.0	2.0	0	0	1	1	0	45.5
43922	52.0	11.0	2.0	1	0	1	1	0	55.5
43923	52.0	40.0	3.0	0	0	1	1	1	55.5
43924	59.0	5.0	3.0	0	0	2	0	1	55.5
